Experiment	Type	URL
SRX15289100	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/074/SRR19225174/SRR19225174_1.fastq.gz
SRX15289100	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/074/SRR19225174/SRR19225174_2.fastq.gz
SRX15289097	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/077/SRR19225177/SRR19225177_1.fastq.gz
SRX15289097	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/077/SRR19225177/SRR19225177_2.fastq.gz
SRX15289096	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/078/SRR19225178/SRR19225178_1.fastq.gz
SRX15289096	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/078/SRR19225178/SRR19225178_2.fastq.gz
SRX15289093	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/081/SRR19225181/SRR19225181_1.fastq.gz
SRX15289093	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/081/SRR19225181/SRR19225181_2.fastq.gz
SRX15289090	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/084/SRR19225184/SRR19225184_1.fastq.gz
SRX15289090	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/084/SRR19225184/SRR19225184_2.fastq.gz
SRX15289095	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/079/SRR19225179/SRR19225179_1.fastq.gz
SRX15289095	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/079/SRR19225179/SRR19225179_2.fastq.gz
SRX15289091	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/083/SRR19225183/SRR19225183_1.fastq.gz
SRX15289091	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/083/SRR19225183/SRR19225183_2.fastq.gz
SRX15289094	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/080/SRR19225180/SRR19225180_1.fastq.gz
SRX15289094	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/080/SRR19225180/SRR19225180_2.fastq.gz
SRX15289089	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/085/SRR19225185/SRR19225185_1.fastq.gz
SRX15289089	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/085/SRR19225185/SRR19225185_2.fastq.gz
SRX15289092	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/082/SRR19225182/SRR19225182_1.fastq.gz
SRX15289092	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/082/SRR19225182/SRR19225182_2.fastq.gz
SRX15289098	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/076/SRR19225176/SRR19225176_1.fastq.gz
SRX15289098	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/076/SRR19225176/SRR19225176_2.fastq.gz
SRX15289088	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/086/SRR19225186/SRR19225186_1.fastq.gz
SRX15289088	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/086/SRR19225186/SRR19225186_2.fastq.gz
SRX15289087	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/087/SRR19225187/SRR19225187_1.fastq.gz
SRX15289087	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/087/SRR19225187/SRR19225187_2.fastq.gz
SRX15289086	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/088/SRR19225188/SRR19225188_1.fastq.gz
SRX15289086	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/088/SRR19225188/SRR19225188_2.fastq.gz
SRX15289085	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/089/SRR19225189/SRR19225189_1.fastq.gz
SRX15289085	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/089/SRR19225189/SRR19225189_2.fastq.gz
SRX15289082	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/092/SRR19225192/SRR19225192_1.fastq.gz
SRX15289082	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/092/SRR19225192/SRR19225192_2.fastq.gz
SRX15289081	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/093/SRR19225193/SRR19225193_1.fastq.gz
SRX15289081	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/093/SRR19225193/SRR19225193_2.fastq.gz
SRX15289083	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/091/SRR19225191/SRR19225191_1.fastq.gz
SRX15289083	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/091/SRR19225191/SRR19225191_2.fastq.gz
SRX15289080	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/094/SRR19225194/SRR19225194_1.fastq.gz
SRX15289080	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/094/SRR19225194/SRR19225194_2.fastq.gz
SRX15289084	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/090/SRR19225190/SRR19225190_1.fastq.gz
SRX15289084	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/090/SRR19225190/SRR19225190_2.fastq.gz
SRX15289079	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/095/SRR19225195/SRR19225195_1.fastq.gz
SRX15289079	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/095/SRR19225195/SRR19225195_2.fastq.gz
SRX15289078	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/096/SRR19225196/SRR19225196_1.fastq.gz
SRX15289078	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/096/SRR19225196/SRR19225196_2.fastq.gz
SRX15289077	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/097/SRR19225197/SRR19225197_1.fastq.gz
SRX15289077	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/097/SRR19225197/SRR19225197_2.fastq.gz
SRX15289076	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/098/SRR19225198/SRR19225198_1.fastq.gz
SRX15289076	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/098/SRR19225198/SRR19225198_2.fastq.gz
SRX15289072	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/002/SRR19225202/SRR19225202_1.fastq.gz
SRX15289072	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/002/SRR19225202/SRR19225202_2.fastq.gz
SRX15289075	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/099/SRR19225199/SRR19225199_1.fastq.gz
SRX15289075	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/099/SRR19225199/SRR19225199_2.fastq.gz
SRX15289073	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/001/SRR19225201/SRR19225201_1.fastq.gz
SRX15289073	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/001/SRR19225201/SRR19225201_2.fastq.gz
SRX15289071	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/003/SRR19225203/SRR19225203_1.fastq.gz
SRX15289071	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/003/SRR19225203/SRR19225203_2.fastq.gz
SRX15289070	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/004/SRR19225204/SRR19225204_1.fastq.gz
SRX15289070	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/004/SRR19225204/SRR19225204_2.fastq.gz
SRX15289074	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/000/SRR19225200/SRR19225200_1.fastq.gz
SRX15289074	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/000/SRR19225200/SRR19225200_2.fastq.gz
SRX15289068	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/006/SRR19225206/SRR19225206_1.fastq.gz
SRX15289068	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/006/SRR19225206/SRR19225206_2.fastq.gz
SRX15289069	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/005/SRR19225205/SRR19225205_1.fastq.gz
SRX15289069	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/005/SRR19225205/SRR19225205_2.fastq.gz
